rows,method,mean,ci95,n
30,RANDOM,74.99962100701467,1.4241986813632728,100
30,BACK_TO_FRONT,116.67227241987379,1.8290243485194781,100
30,FRONT_TO_BACK,148.38484998869993,2.314241350523475,100
30,BLOCKS_K2,45.903460996888114,0.8816652063330072,100
40,RANDOM,100.68921930468463,1.9995593648026375,100
40,BACK_TO_FRONT,153.31753472189445,1.9083067814661896,100
40,FRONT_TO_BACK,197.95104326981271,2.592930565607937,100
40,BLOCKS_K2,60.84804513466149,0.9566434187891065,100
50,RANDOM,125.9677392743957,2.134787388577789,100
50,BACK_TO_FRONT,192.33504780826516,2.2219816132908,100
50,FRONT_TO_BACK,247.13304668223182,2.8351258851707803,100
50,BLOCKS_K2,77.10585019866633,1.253845314484403,100
60,RANDOM,151.44147711986534,2.188253465195044,100
60,BACK_TO_FRONT,234.80334059028726,2.5457795201345297,100
60,FRONT_TO_BACK,295.9792197078383,2.9319782925208617,100
60,BLOCKS_K2,91.84095199244155,1.2101753684697523,100
70,RANDOM,172.99556474579714,2.4897558524479524,100
70,BACK_TO_FRONT,270.3358305625176,3.042587884090544,100
70,FRONT_TO_BACK,346.0649695734925,2.9126743923003264,100
70,BLOCKS_K2,105.6762415403699,1.3609800146111128,100
